id,name,org,category,params_total,params_active,architecture,context,modality,license,release,ollama,hf,github,api,notes,commercial
deepseek-v4-pro-0813,DeepSeek V4-Pro-0813,DeepSeek,llm,1.6T,49B,MoE,1M,text,MIT,2026-08-13,,deepseek-ai/DeepSeek-V4-Pro-0813,https://github.com/deepseek-ai,https://platform.deepseek.com,GA build; open weights; reasoning efforts; 384K max output,True
qwen3.8-2.4t-a95b,Qwen3.8-2.4T-A95B,Qwen (Alibaba),llm,2.4T,95B,"MoE (512 experts, hybrid Gated-DeltaNet attention)",262K-1M,text,Qwen3.8-Max license (custom),2026-08-12,,Qwen/Qwen3.8-2.4T-A95B,https://github.com/QwenLM,https://www.alibabacloud.com/product/bailian,Open twin of Qwen3.8-Max; ~400GB at 1-bit; 27B sibling is Apache 2.0,True
kimi-k2.6,Kimi K2.6,Moonshot AI,llm,1T,32B,MoE (agent-swarm lineage),262K,text+image+video,Modified MIT,2026-04-20,,moonshotai/Kimi-K2.6,https://github.com/MoonshotAI/Kimi-K2,https://platform.moonshot.ai,Long-horizon agents; ties GPT-5.5-class on SWE-bench Pro (v.r.),True
glm-5.2,GLM-5.2,Z.ai (Zhipu),llm,744B,,MoE,1M,text,MIT,2026-06-13,,zai-org/GLM-5.2,https://github.com/zai-org/GLM-5,https://z.ai,Open weights BF16+FP8; agentic coding; GLM Coding Plan,True
qwen3.5,Qwen3.5-397B-A17B,Qwen (Alibaba),llm,397B,17B,MoE,1M,text+image+video,Apache 2.0,2026-02-16,,Qwen/Qwen3.5-397B-A17B,https://github.com/QwenLM/Qwen3,https://www.alibabacloud.com/product/bailian,Agentic flagship; native image+video input; computer-use agents,True
qwen3.6,Qwen3.6-35B-A3B,Qwen (Alibaba),llm,35B,3B,MoE,256K,text+image+video,Apache 2.0,2026-04-15,,Qwen/Qwen3.6-35B-A3B,https://github.com/QwenLM,https://www.alibabacloud.com/product/bailian,Small flagship; image/video input; huge GGUF ecosystem,True
qwen3-235b-a22b,Qwen3-235B-A22B,Qwen (Alibaba),llm,235B,22B,MoE,256K,text,Apache 2.0,2025-07,qwen3:235b,Qwen/Qwen3-235B-A22B-Instruct,https://github.com/QwenLM/Qwen3,,Best-documented self-host MoE; thinking mode,True
mistral-large-3,Mistral Large 3,Mistral AI,llm,675B,41B,MoE (2.5B vision encoder incl.),256K,text+image,Apache 2.0,2025-12-02,,mistralai/Mistral-Large-3-675B-Instruct-2512-BF16,https://github.com/mistralai,https://mistral.ai,Largest open MoE from a Western lab; 40-100+ languages,True
llama-4-maverick,Llama 4 Maverick,Meta,llm,402B,17B,MoE (128 experts),1M,text+image in,Llama 4 Community (700M MAU cap),2025-04,,meta-llama/Llama-4-Maverick-17B-128E-Instruct,https://github.com/meta-llama/llama-models,,Native tool use; fine-tunes restricted >700M MAU,True
llama-4-scout,Llama 4 Scout,Meta,llm,109B,17B,MoE (16 experts),10M,text+image in,Llama 4 Community,2025-04,,meta-llama/Llama-4-Scout-17B-16E-Instruct,https://github.com/meta-llama/llama-models,,Longest context of any model; single 80GB GPU at Q4,True
deepseek-v3.2,DeepSeek V3.2 / V3.2-Speciale,DeepSeek,llm,685B,37B,MoE,128K,text,MIT,2025-09,,deepseek-ai/DeepSeek-V3.2,https://github.com/deepseek-ai,https://platform.deepseek.com,Proven workhorse; huge ecosystem,True
deepseek-v4-flash,DeepSeek V4-Flash-0731,DeepSeek,llm,,,MoE,128K+,text,MIT,2026-07-31,deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,https://github.com/deepseek-ai,https://platform.deepseek.com,Cheap fast tier; open weights 166.9GB (48 shards),True
gemma-4-31b,Gemma 4 31B,Google DeepMind,llm,31B,,Dense,128K+,text+image (+audio in edge variants),Apache 2.0,2026-04-02,google/gemma-4-31b-it,google/gemma-4-31B-it,https://github.com/google-gemma,,Frontier-dense on one GPU (~18-22GB Q4); token-efficient (v.r.),True
gemma-4-26b-a4b,Gemma 4 26B-A4B,Google DeepMind,llm,26B,4B,MoE,128K+,text+image,Apache 2.0,2026-04-02,google/gemma-4-26b-it,,,,MoE efficiency tier,True
